Method,Effective_date,Trigger_date,Seed,N,Applied_end
Features_and_triggers,2017-01-20,2017-01-19,550343,4,2017-01-24
Features_and_triggers,2017-01-25,2017-01-24,385735,2,2017-01-26
Features_and_triggers,2017-01-27,2017-01-26,550343,3,2017-01-31
Features_and_triggers,2017-02-01,2017-01-31,550343,1,2017-02-01
Features_and_triggers,2017-02-02,2017-02-01,550343,8,2017-02-10
Features_and_triggers,2017-02-13,2017-02-10,565766,2,2017-02-14
Features_and_triggers,2017-02-15,2017-02-14,550343,15,2017-03-07
Features_and_triggers,2017-03-08,2017-03-07,374583,4,2017-03-13
Features_and_triggers,2017-03-14,2017-03-13,565766,23,2017-04-12
Features_and_triggers,2017-04-13,2017-04-12,565766,1,2017-04-13
Features_and_triggers,2017-04-14,2017-04-13,42716,3,2017-04-18
Features_and_triggers,2017-04-19,2017-04-18,565766,2,2017-04-20
Features_and_triggers,2017-04-21,2017-04-20,42716,10,2017-05-04
Features_and_triggers,2017-05-05,2017-05-04,42716,5,2017-05-11
Features_and_triggers,2017-05-12,2017-05-11,42716,36,2017-06-29
Features_and_triggers,2017-06-30,2017-06-29,42716,2,2017-07-03
Features_and_triggers,2017-07-04,2017-07-03,42716,1,2017-07-04
Features_and_triggers,2017-07-05,2017-07-04,42716,15,2017-07-25
Features_and_triggers,2017-07-26,2017-07-25,42716,12,2017-08-10
Features_and_triggers,2017-08-11,2017-08-10,42716,1,2017-08-11
Features_and_triggers,2017-08-14,2017-08-11,42716,1,2017-08-14
Features_and_triggers,2017-08-15,2017-08-14,42716,2,2017-08-16
Features_and_triggers,2017-08-17,2017-08-16,42716,1,2017-08-17
Features_and_triggers,2017-08-18,2017-08-17,42716,5,2017-08-24
Features_and_triggers,2017-08-25,2017-08-24,42716,7,2017-09-04
Features_and_triggers,2017-09-05,2017-09-04,42716,2,2017-09-06
Features_and_triggers,2017-09-07,2017-09-06,42716,1,2017-09-07
Features_and_triggers,2017-09-08,2017-09-07,42716,1,2017-09-08
Features_and_triggers,2017-09-11,2017-09-08,42716,1,2017-09-11
Features_and_triggers,2017-09-12,2017-09-11,42716,3,2017-09-14
Features_and_triggers,2017-09-15,2017-09-14,42716,2,2017-09-18
Features_and_triggers,2017-09-19,2017-09-18,42716,3,2017-09-21
Features_and_triggers,2017-09-22,2017-09-21,42716,4,2017-09-27
Features_and_triggers,2017-09-28,2017-09-27,42716,11,2017-10-11
Features_and_triggers,2017-10-12,2017-10-11,42716,10,2017-10-25
Features_and_triggers,2017-10-26,2017-10-25,42716,29,2017-12-05
Features_and_triggers,2017-12-06,2017-12-05,785634,4,2017-12-11
Features_and_triggers,2017-12-12,2017-12-11,785634,7,2017-12-20
Features_and_triggers,2017-12-21,2017-12-20,374583,7,2017-12-29
Features_and_triggers,2017-12-30,2017-12-29,965409,2,2017-12-31
