Model,Seed,Budget,Initial_MSE,Final_MSE,Previous20_mean,Last20_mean,Decrease_percent,Status
Stacking,21,200,0.46981284637684523,0.012421058167542237,0.012710561595734388,0.01251172972471096,1.5643043741682836,decreasing
Stacking,42,100,0.4961850521719711,0.01696107515654378,0.01835292489181043,0.0173112535855073,5.675778179465833,decreasing
Stacking,42,200,0.49597315618229854,0.011929633297515129,0.012191191764240977,0.012006243136980411,1.517067657019833,decreasing
Stacking,100,100,0.49248935134029287,0.018661471518786006,0.019637855694817012,0.01891443178180919,3.683823347366561,decreasing
Stacking,100,200,0.4922172097364717,0.01320237766635307,0.0134807992093923,0.01329183935218714,1.4016962516102789,decreasing
Stacking,123,100,0.5408590532979762,0.017243934155705135,0.018720296095542568,0.01756550669574733,6.168649223823985,decreasing
Stacking,123,200,0.5410500573398638,0.011728501227221017,0.01197384021831344,0.011800807239947616,1.4450917601287026,decreasing
Stacking,999,100,0.48681157374485257,0.017199716141501238,0.018222669515857187,0.01743326604020246,4.331985908913056,decreasing
Stacking,999,200,0.4867285842137973,0.013337427468355981,0.013500775350105632,0.013382923630477318,0.8729255659186409,plateau
Stacking,2024,100,0.5054483259237369,0.018636782072738386,0.01935317171721967,0.018799620178741847,2.8602626306741046,decreasing
Stacking,2024,200,0.5051245151596824,0.012273980666624962,0.012449701883122985,0.01232790499299206,0.9783116999454746,plateau
Stacking,2025,100,0.5181900970056181,0.017061919860412805,0.01818131813789759,0.017348137815529786,4.582617806082517,decreasing
Stacking,2025,200,0.5180412703358732,0.011779688769242333,0.012098121316816523,0.0118777275025791,1.8217193270419056,decreasing
