Year,Effective_date,Trigger_date,Seed,Train_end,Train_N,N,Stage2_features
2018,2018-01-01,,965409,2017-12-31,1495,2,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-03,2018-01-02,965409,2018-01-02,1497,1,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-04,2018-01-03,965409,2018-01-03,1498,1,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-05,2018-01-04,965409,2018-01-04,1499,1,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-08,2018-01-05,965409,2018-01-05,1500,2,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-10,2018-01-09,965409,2018-01-09,1502,3,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-15,2018-01-12,374583,2018-01-12,1505,1,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-16,2018-01-15,374583,2018-01-15,1506,1,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-17,2018-01-16,374583,2018-01-16,1507,2,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
2018,2018-01-19,2018-01-18,374583,2018-01-18,1509,3,base_prediction|gold_daily|gold_vs_ma5|gold_vs_ma20|copper_daily|copper_vs_ma5|copper_vs_ma20|a500_vs_ma20|us10y_vs_ma20|RSI14_lag1|DIFF_lag1|DEA_lag1|cn10y_vs_ma20|brent_vs_ma20|dollar_vs_ma20
